,URL,pages,description,prix,Enchère ou vente
740,https://www.zoopla.co.uk//for-sale/details/54153714?search_identifier=b76c80d2603f19c8f29aeb2044a454fd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=8,1 bed flat for sale,80000.0,vente
4527,https://www.zoopla.co.uk//for-sale/details/54079663?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed flat for sale,81875.0,vente
2619,https://www.zoopla.co.uk//new-homes/details/54116782?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,84995.0,vente
1409,https://www.zoopla.co.uk//new-homes/details/54043784?search_identifier=b689049719149171b1503742a6e12f89,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=15,1 bed flat for sale,87500.0,vente
890,https://www.zoopla.co.uk//new-homes/details/54150620?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,1 bed flat for sale,91250.0,vente
2522,https://www.zoopla.co.uk//new-homes/details/54119161?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,92500.0,vente
4664,https://www.zoopla.co.uk//new-homes/details/54077505?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,1 bed flat for sale,92500.0,vente
2515,https://www.zoopla.co.uk//new-homes/details/54119438?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,93125.0,vente
4187,https://www.zoopla.co.uk//for-sale/details/54089601?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,94000.0,vente
2592,https://www.zoopla.co.uk//new-homes/details/54117784?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,95995.0,vente
1048,https://www.zoopla.co.uk//for-sale/details/54148351?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,2 bed flat for sale,97500.0,vente
2728,https://www.zoopla.co.uk//new-homes/details/54115006?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,97500.0,vente
2620,https://www.zoopla.co.uk//new-homes/details/54116779?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,99995.0,vente
2618,https://www.zoopla.co.uk//new-homes/details/54116791?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,99995.0,vente
4751,https://www.zoopla.co.uk//for-sale/details/54076507?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,Land for sale,100000.0,vente
4828,https://www.zoopla.co.uk//for-sale/details/54075533?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,1 bed flat for sale,100000.0,vente
732,https://www.zoopla.co.uk//for-sale/details/54153742?search_identifier=b76c80d2603f19c8f29aeb2044a454fd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=8,2 bed maisonette for sale,100000.0,vente
4549,https://www.zoopla.co.uk//for-sale/details/54079346?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed flat for sale,100000.0,vente
4156,https://www.zoopla.co.uk//for-sale/details/54090225?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,100000.0,vente
4061,https://www.zoopla.co.uk//new-homes/details/54091373?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,2 bed flat for sale,100625.0,vente
3502,https://www.zoopla.co.uk//new-homes/details/54101543?search_identifier=4ca3ac5f42f9829a770bdf952ab50893,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=36,1 bed flat for sale,101000.0,vente
1276,https://www.zoopla.co.uk//for-sale/details/54144010?search_identifier=e8a31cfb56cfc8829bdea22a56efac86,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=13,2 bed flat for sale,105000.0,vente
1388,https://www.zoopla.co.uk//new-homes/details/54141422?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,1 bed flat for sale,105450.0,vente
2537,https://www.zoopla.co.uk//new-homes/details/54118934?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,2 bed flat for sale,106500.0,vente
4528,https://www.zoopla.co.uk//for-sale/details/54079653?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,106875.0,vente
3117,https://www.zoopla.co.uk//for-sale/details/54106889?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=32,2 bed flat for sale,108000.0,vente
4170,https://www.zoopla.co.uk//for-sale/details/54089726?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,108500.0,vente
3789,https://www.zoopla.co.uk//for-sale/details/54095261?search_identifier=126ebb161c184d66f0c85a917d8aca4b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=38,1 bed flat for sale,109995.0,vente
4749,https://www.zoopla.co.uk//for-sale/details/54076526?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,110000.0,vente
4316,https://www.zoopla.co.uk//for-sale/details/54085708?search_identifier=c896488009676d2754e19f5d80e08912,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=44,Property for sale,110000.0,vente
3435,https://www.zoopla.co.uk//new-homes/details/54121460?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,1 bed flat for sale,110000.0,vente
3434,https://www.zoopla.co.uk//new-homes/details/54102318?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,1 bed flat for sale,110000.0,vente
4891,https://www.zoopla.co.uk//for-sale/details/54074615?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,Studio for sale,110000.0,vente
2512,https://www.zoopla.co.uk//new-homes/details/54119470?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,110625.0,vente
540,https://www.zoopla.co.uk//new-homes/details/54157489?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=6,1 bed flat for sale,112000.0,vente
4067,https://www.zoopla.co.uk//for-sale/details/54091347?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,Studio for sale,115000.0,vente
2746,https://www.zoopla.co.uk//new-homes/details/54114667?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,119995.0,vente
2616,https://www.zoopla.co.uk//new-homes/details/54116793?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,119995.0,vente
2734,https://www.zoopla.co.uk//new-homes/details/54114847?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,119995.0,vente
