,URL,pages,description,prix
2661,https://www.zoopla.co.uk//for-sale/details/54095644?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,Studio for sale,385000.0
1688,https://www.zoopla.co.uk//new-homes/details/54137357?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,1 bed flat for sale,386000.0
9484,https://www.zoopla.co.uk//for-sale/details/53970683?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,1 bed flat for sale,387125.0
5689,https://www.zoopla.co.uk//for-sale/details/54056344?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=57,2 bed flat for sale,387500.0
8031,https://www.zoopla.co.uk//new-homes/details/54002802?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,388000.0
5452,https://www.zoopla.co.uk//new-homes/details/54063775?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,1 bed flat for sale,388000.0
5514,https://www.zoopla.co.uk//for-sale/details/54062857?search_identifier=0f534732f0d135b685a7958232c25b5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=56,2 bed flat for sale,389000.0
8565,https://www.zoopla.co.uk//for-sale/details/53992586?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,1 bed flat for sale,389000.0
4745,https://www.zoopla.co.uk//new-homes/details/54076432?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,389000.0
9845,https://www.zoopla.co.uk//for-sale/details/53961854?search_identifier=eb10c86a852c21db7d578db593287267,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=99,3 bed flat for sale,389950.0
5195,https://www.zoopla.co.uk//new-homes/details/54068026?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,2 bed flat for sale,389950.0
5190,https://www.zoopla.co.uk//for-sale/details/54068038?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,1 bed flat for sale,389950.0
3403,https://www.zoopla.co.uk//for-sale/details/54102600?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,2 bed semi-detached house for sale,389950.0
9503,https://www.zoopla.co.uk//for-sale/details/53970471?search_identifier=a5656084126786453cab24bdb8eed128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=96,1 bed flat for sale,389950.0
3044,https://www.zoopla.co.uk//for-sale/details/54108428?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,3 bed property for sale,389950.0
8456,https://www.zoopla.co.uk//for-sale/details/53993836?search_identifier=b2922a150ccef682e4c96f0219cdcb5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=85,2 bed maisonette for sale,389950.0
3841,https://www.zoopla.co.uk//for-sale/details/54094528?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,3 bed semi-detached house for sale,389950.0
470,https://www.zoopla.co.uk//for-sale/details/54158488?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,3 bed semi-detached house for sale,389950.0
3344,https://www.zoopla.co.uk//for-sale/details/54103377?search_identifier=fa66bf652959bd95b74ac0d613701526,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=34,2 bed flat for sale,389995.0
2466,https://www.zoopla.co.uk//for-sale/details/54119849?search_identifier=bd268dfed7c29988402539b9a6ce422b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=25,2 bed semi-detached bungalow for sale,390000.0
1558,https://www.zoopla.co.uk//for-sale/details/54139047?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,3 bed terraced house for sale,390000.0
5193,https://www.zoopla.co.uk//for-sale/details/54068032?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,2 bed flat for sale,390000.0
7714,https://www.zoopla.co.uk//for-sale/details/54009278?search_identifier=ab3619dd29cee0ad1e842a39f75fb611,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=78,2 bed end terrace house for sale,390000.0
6202,https://www.zoopla.co.uk//for-sale/details/54028203?search_identifier=3a76a2eb752c667ddea6c669b3a4288b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=63,2 bed flat for sale,390000.0
3273,https://www.zoopla.co.uk//for-sale/details/54104397?search_identifier=5ca92ebc399a151af28b9cfe6a327213,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=33,3 bed property for sale,390000.0
4690,https://www.zoopla.co.uk//for-sale/details/54077034?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,2 bed flat for sale,390000.0
2281,https://www.zoopla.co.uk//new-homes/details/54122471?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed flat for sale,390000.0
9329,https://www.zoopla.co.uk//for-sale/details/53973710?search_identifier=1bb59fc96937d864f69d649102f72433,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=94,4 bed terraced house for sale,390000.0
8485,https://www.zoopla.co.uk//for-sale/details/53993556?search_identifier=b2922a150ccef682e4c96f0219cdcb5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=85,2 bed terraced house for sale,390000.0
566,https://www.zoopla.co.uk//for-sale/details/54157174?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=6,1 bed flat for sale,390000.0
3091,https://www.zoopla.co.uk//for-sale/details/54107726?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,3 bed terraced house for sale,390000.0
8431,https://www.zoopla.co.uk//for-sale/details/53994105?search_identifier=b2922a150ccef682e4c96f0219cdcb5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=85,3 bed end terrace house for sale,390000.0
6533,https://www.zoopla.co.uk//for-sale/details/54035032?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,1 bed flat for sale,390000.0
6513,https://www.zoopla.co.uk//for-sale/details/53387718?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,2 bed flat for sale,390000.0
5961,https://www.zoopla.co.uk//new-homes/details/54050735?search_identifier=9c41cec468fb72b3675f3898119552c5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=60,2 bed flat for sale,390000.0
2362,https://www.zoopla.co.uk//for-sale/details/54121209?search_identifier=3db859b17f7188303fb67108baf9eeb7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=24,2 bed flat for sale,390000.0
7684,https://www.zoopla.co.uk//for-sale/details/48972400?search_identifier=90c7d4111554be06a8cc1d4a52a2a993,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=77,Property for sale,390000.0
5821,https://www.zoopla.co.uk//for-sale/details/54052252?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=59,1 bed flat for sale,390000.0
8138,https://www.zoopla.co.uk//new-homes/details/43870623?search_identifier=33b8af2a447234140f52656b515923c3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=82,2 bed flat for sale,390000.0
3336,https://www.zoopla.co.uk//for-sale/details/54103450?search_identifier=fa66bf652959bd95b74ac0d613701526,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=34,3 bed terraced house for sale,390000.0
7513,https://www.zoopla.co.uk//for-sale/details/54009398?search_identifier=39aa78fa1b8597596b773a636dceb381,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=76,3 bed terraced house for sale,390000.0
1616,https://www.zoopla.co.uk//for-sale/details/54138292?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,2 bed flat for sale,390000.0
8290,https://www.zoopla.co.uk//for-sale/details/53997158?search_identifier=f327b53a9fc4ed692076843b7ed28cb9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=83,3 bed semi-detached house for sale,390000.0
61,https://www.zoopla.co.uk//for-sale/details/54165963?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,3 bed terraced house for sale,390000.0
8251,https://www.zoopla.co.uk//for-sale/details/53998156?search_identifier=f327b53a9fc4ed692076843b7ed28cb9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=83,3 bed terraced house for sale,390000.0
7793,https://www.zoopla.co.uk//for-sale/details/54006981?search_identifier=ab3619dd29cee0ad1e842a39f75fb611,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=78,2 bed maisonette for sale,390000.0
1423,https://www.zoopla.co.uk//for-sale/details/54140795?search_identifier=b689049719149171b1503742a6e12f89,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=15,2 bed flat for sale,390000.0
2708,https://www.zoopla.co.uk//new-homes/details/54115033?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,390000.0
7092,https://www.zoopla.co.uk//for-sale/details/54022837?search_identifier=e9b573906f5159600ce7762f3637082a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=71,1 bed flat for sale,390000.0
1609,https://www.zoopla.co.uk//for-sale/details/54138336?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,2 bed semi-detached house for sale,390000.0
1323,https://www.zoopla.co.uk//for-sale/details/45557736?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,1 bed flat for sale,390000.0
3925,https://www.zoopla.co.uk//for-sale/details/54093446?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,3 bed terraced house for sale,390000.0
643,https://www.zoopla.co.uk//new-homes/details/54155137?search_identifier=7628ff5369be1389d7c928a9eb4c75d1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=7,1 bed maisonette for sale,390000.0
434,https://www.zoopla.co.uk//for-sale/details/52737488?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,2 bed flat for sale,390000.0
4252,https://www.zoopla.co.uk//for-sale/details/54086749?search_identifier=4a383953bb5d5f63baf930d0fea37709,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=43,2 bed maisonette for sale,390000.0
3835,https://www.zoopla.co.uk//for-sale/details/54094592?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,2 bed flat for sale,390000.0
7137,https://www.zoopla.co.uk//new-homes/details/54021572?search_identifier=3559a321ded243157189dcbe56388e71,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=72,1 bed flat for sale,390000.0
9847,https://www.zoopla.co.uk//for-sale/details/53961848?search_identifier=eb10c86a852c21db7d578db593287267,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=99,3 bed flat for sale,394950.0
1990,https://www.zoopla.co.uk//for-sale/details/54129941?search_identifier=0cb778de590597a515574175c255df80,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=20,3 bed terraced house for sale,394995.0
5717,https://www.zoopla.co.uk//for-sale/details/54055867?search_identifier=20d287dba7a84f2a5f13a696af814b1a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=58,3 bed semi-detached house for sale,394995.0
2500,https://www.zoopla.co.uk//for-sale/details/54119427?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,3 bed property for sale,394999.0
1238,https://www.zoopla.co.uk//for-sale/details/54144161?search_identifier=e8a31cfb56cfc8829bdea22a56efac86,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=13,2 bed maisonette for sale,395000.0
1728,https://www.zoopla.co.uk//for-sale/details/54136712?search_identifier=c8eff9ff1a3aecce5a182c764ac10624,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=18,2 bed flat for sale,395000.0
7923,https://www.zoopla.co.uk//new-homes/details/43870682?search_identifier=deac6f9206c15779a662370da0a54810,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=80,2 bed flat for sale,395000.0
1640,https://www.zoopla.co.uk//for-sale/details/41804121?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,3 bed end terrace house for sale,395000.0
6974,https://www.zoopla.co.uk//for-sale/details/54024964?search_identifier=b4c3dbcd616bf46f8c93e6328d143367,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=70,2 bed flat for sale,395000.0
7519,https://www.zoopla.co.uk//for-sale/details/54014905?search_identifier=39aa78fa1b8597596b773a636dceb381,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=76,3 bed terraced house for sale,395000.0
3954,https://www.zoopla.co.uk//for-sale/details/52703531?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,3 bed semi-detached house for sale,395000.0
9886,https://www.zoopla.co.uk//for-sale/details/53961271?search_identifier=eb10c86a852c21db7d578db593287267,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=99,1 bed flat for sale,395000.0
5406,https://www.zoopla.co.uk//for-sale/details/54064253?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,2 bed end terrace house for sale,395000.0
5953,https://www.zoopla.co.uk//new-homes/details/54050821?search_identifier=9c41cec468fb72b3675f3898119552c5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=60,1 bed flat for sale,395000.0
3499,https://www.zoopla.co.uk//for-sale/details/54100837?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,3 bed detached house for sale,395000.0
3502,https://www.zoopla.co.uk//for-sale/details/54100837?search_identifier=4ca3ac5f42f9829a770bdf952ab50893,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=36,3 bed detached house for sale,395000.0
3438,https://www.zoopla.co.uk//for-sale/details/54102038?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,1 bed flat for sale,395000.0
9000,https://www.zoopla.co.uk//for-sale/details/53979819?search_identifier=89032ca41787a980b71dc0421fe84f6e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=91,2 bed flat for sale,395000.0
7068,https://www.zoopla.co.uk//for-sale/details/54023430?search_identifier=e9b573906f5159600ce7762f3637082a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=71,2 bed terraced house for sale,395000.0
1652,https://www.zoopla.co.uk//for-sale/details/54137822?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,2 bed cottage for sale,395000.0
5940,https://www.zoopla.co.uk//for-sale/details/51522713?search_identifier=9c41cec468fb72b3675f3898119552c5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=60,3 bed property for sale,395000.0
5211,https://www.zoopla.co.uk//for-sale/details/54067868?search_identifier=0f8d38b7510155545dba4f8a3ff32365,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=53,3 bed terraced house for sale,395000.0
6680,https://www.zoopla.co.uk//for-sale/details/54031475?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,Land for sale,395000.0
7424,https://www.zoopla.co.uk//for-sale/details/54016107?search_identifier=81fa998cf134b141e2ec03ae9c4eb103,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=75,2 bed flat for sale,395000.0
4249,https://www.zoopla.co.uk//for-sale/details/54086750?search_identifier=4a383953bb5d5f63baf930d0fea37709,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=43,2 bed flat for sale,395000.0
7526,https://www.zoopla.co.uk//for-sale/details/54014741?search_identifier=39aa78fa1b8597596b773a636dceb381,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=76,2 bed terraced house for sale,395000.0
6918,https://www.zoopla.co.uk//for-sale/details/54027267?search_identifier=b4c3dbcd616bf46f8c93e6328d143367,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=70,2 bed semi-detached house for sale,395000.0
868,https://www.zoopla.co.uk//for-sale/details/46000120?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,3 bed semi-detached house for sale,395000.0
6690,https://www.zoopla.co.uk//for-sale/details/54031017?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,Land for sale,395000.0
9049,https://www.zoopla.co.uk//for-sale/details/53979010?search_identifier=89032ca41787a980b71dc0421fe84f6e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=91,1 bed flat for sale,395000.0
7878,https://www.zoopla.co.uk//for-sale/details/54005426?search_identifier=b2cba6063ea22c7a60103115a1c89a1e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=79,2 bed flat for sale,395000.0
4675,https://www.zoopla.co.uk//for-sale/details/48410593?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,Studio for sale,395000.0
380,https://www.zoopla.co.uk//for-sale/details/54160010?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Studio for sale,395000.0
173,https://www.zoopla.co.uk//new-homes/details/54164721?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,1 bed flat for sale,395000.0
9389,https://www.zoopla.co.uk//for-sale/details/53972921?search_identifier=1bb59fc96937d864f69d649102f72433,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=94,2 bed terraced house for sale,395000.0
4073,https://www.zoopla.co.uk//for-sale/details/52186407?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,1 bed flat for sale,395000.0
5277,https://www.zoopla.co.uk//for-sale/details/54066873?search_identifier=0f8d38b7510155545dba4f8a3ff32365,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=53,1 bed flat for sale,395000.0
8364,https://www.zoopla.co.uk//for-sale/details/53995085?search_identifier=e25c9b19ff1e3e21c7a147c4ac5a3d89,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=84,1 bed flat for sale,395000.0
2080,https://www.zoopla.co.uk//for-sale/details/54127979?search_identifier=81df929a334627b4b26f5398e1ff779b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=21,1 bed flat for sale,395000.0
6495,https://www.zoopla.co.uk//for-sale/details/48045837?search_identifier=ba2b605830fffdb4450f724cb82c2b94,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=65,4 bed end terrace house for sale,395000.0
5650,https://www.zoopla.co.uk//new-homes/details/54058470?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=57,2 bed terraced house for sale,395000.0
9763,https://www.zoopla.co.uk//for-sale/details/53963692?search_identifier=8fbaba4bb000c1682feb6a45a150501f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=98,3 bed terraced house for sale,395000.0
6941,https://www.zoopla.co.uk//for-sale/details/54025610?search_identifier=b4c3dbcd616bf46f8c93e6328d143367,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=70,3 bed flat for sale,395000.0
6518,https://www.zoopla.co.uk//for-sale/details/40639065?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,1 bed flat for sale,395000.0
8532,https://www.zoopla.co.uk//for-sale/details/53992908?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,3 bed semi-detached house for sale,395995.0
7345,https://www.zoopla.co.uk//for-sale/details/54017551?search_identifier=97e36b806aa3f20afb0da2980d035075,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=74,3 bed semi-detached house for sale,395995.0
4360,https://www.zoopla.co.uk//for-sale/details/54084705?search_identifier=c896488009676d2754e19f5d80e08912,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=44,4 bed detached house for sale,396500.0
2092,https://www.zoopla.co.uk//for-sale/details/54127622?search_identifier=81df929a334627b4b26f5398e1ff779b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=21,4 bed semi-detached house for sale,396500.0
6548,https://www.zoopla.co.uk//new-homes/details/54034817?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,1 bed flat for sale,397500.0
3576,https://www.zoopla.co.uk//for-sale/details/54098977?search_identifier=4ca3ac5f42f9829a770bdf952ab50893,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=36,1 bed flat for sale,397500.0
9281,https://www.zoopla.co.uk//for-sale/details/53974544?search_identifier=44f691af584fc0a76e5ac29f3de0057f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=93,1 bed flat for sale,399000.0
