,URL,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
5669,https://www.zoopla.co.uk//for-sale/details/54236690?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,BR7,"Cranmore Road, Chislehurst BR7",500000,77.945617,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
5670,https://www.zoopla.co.uk//for-sale/details/54236703?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,NW1,"Melcombe Place, London NW1",520000,51.654068,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5671,https://www.zoopla.co.uk//for-sale/details/54236659?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E16,"Marco Polo, Royal Wharf, London E16",985000,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
5672,https://www.zoopla.co.uk//for-sale/details/54236653?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,NW6,"Iverson Road, West Hampstead NW6",625000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
5673,https://www.zoopla.co.uk//for-sale/details/54236615?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E17,"Walthamstow, Waltham Forest, London E17",550000,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
5674,https://www.zoopla.co.uk//for-sale/details/54236612?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E14,"East Ferry Road, Poplar, London E14",350000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5675,https://www.zoopla.co.uk//for-sale/details/54236558?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E7,"Dunbar Road, London E7",625000,NA,vente,A,3,2,2,3 bed terraced house for sale,Maison,NA
5676,https://www.zoopla.co.uk//for-sale/details/54236557?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,BR1,"4 Spencer Road, Bromley BR1",290000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5677,https://www.zoopla.co.uk//for-sale/details/54236543?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,NW1,"Melcombe Place, London NW1",540000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5678,https://www.zoopla.co.uk//for-sale/details/54236453?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,W5,"Mount Park Crescent, Ealing, London W5",675000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5679,https://www.zoopla.co.uk//for-sale/details/54236438?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,BR2,"Wendover Road, Bromley BR2",900000,NA,vente,A,4,2,2,4 bed detached house for sale,Maison,NA
5680,https://www.zoopla.co.uk//for-sale/details/54236435?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,RM8,"Cornshaw Road, Dagenham RM8",290000,NA,vente,A,2,1,1,2 bed property for sale,Maison avec jardin,NA
5681,https://www.zoopla.co.uk//for-sale/details/54236433?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,HA8,"St. Austell Close, Edgware HA8",775000,NA,vente,A,4,3,2,4 bed semi-detached house for sale,Maison,NA
5682,https://www.zoopla.co.uk//for-sale/details/54236375?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,RM8,"Marlborough Road, Becontree, Dagenham RM8",280000,NA,vente,A,2,1,2,2 bed terraced house for sale,Maison,NA
5683,https://www.zoopla.co.uk//for-sale/details/54236340?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E16,"907W Hoola Building Tidal Basin Road, Royal Victoria, London E16",499950,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
5684,https://www.zoopla.co.uk//for-sale/details/54236305?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,SW12,"Culverden Road, London SW12",425000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5685,https://www.zoopla.co.uk//for-sale/details/54236296?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,SW16,"Leigham Avenue, London SW16",475000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
5686,https://www.zoopla.co.uk//for-sale/details/54236085?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,HA0,"Carlyon Road, Wembley HA0",529950,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
5687,https://www.zoopla.co.uk//for-sale/details/54235988?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,NW5,"Grafton Road, Kentish Town NW5",545000,68,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
5688,https://www.zoopla.co.uk//for-sale/details/54235901?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,E11,"Forest Road, London E11",580000,NA,vente,A,2,1,1,2 bed end terrace house for sale,Maison,NA
5689,https://www.zoopla.co.uk//for-sale/details/54235776?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,RM9,"Pasture Road, Dagenham RM9",550000,NA,vente,A,5,1,1,5 bed semi-detached house for sale,Maison,NA
5690,https://www.zoopla.co.uk//for-sale/details/54235744?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,RM10,"Highland Avenue, Dagenham RM10",400000,NA,vente,A,3,1,2,3 bed property for sale,Maison avec jardin,NA
5691,https://www.zoopla.co.uk//for-sale/details/54235662?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,CR2,"Broadcoombe South, London CR2",400000,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
5692,https://www.zoopla.co.uk//for-sale/details/54235649?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,SW19,"Hardy Road, London SW19",850000,NA,vente,A,3,2,1,3 bed terraced house for sale,Maison,NA
5693,https://www.zoopla.co.uk//for-sale/details/54235643?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,NW1,"Camden Road, London NW1",680000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
