,URL,ville,code postal,Adresses,prix livre,surface m2,Enchere ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
8832,https://www.zoopla.co.uk//new-homes/details/54169232,London,EC2A,Principal Place Worship Street London EC2A,875000,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
8833,https://www.zoopla.co.uk//for-sale/details/54169190,Londres,N3,St Pauls Way Fincjley N3,1250000,NA,vente,A,4,2,2,4 bed semi-detached house for sale,Maison,NA
8834,https://www.zoopla.co.uk//for-sale/details/54169183,Sutton,SM1,Sydney Road Sutton SM1,370000,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
8835,https://www.zoopla.co.uk//for-sale/details/54169172,Londres,SE3,Vanbrugh Park London SE3,425000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
8836,https://www.zoopla.co.uk//for-sale/details/54166322,Wembley,HA9,Preston Road Area Wembley HA9,599950,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
8837,https://www.zoopla.co.uk//for-sale/details/54169134,Londres,N4,Finsbury Park London N4,400000,NA,vente,A,1,1,1,1 bed maisonette for sale,Maisonette,NA
8838,https://www.zoopla.co.uk//for-sale/details/54169106,United Kingdom,KT1,Kingston-Upon-Thames Surrey United Kingdom KT1,750000,NA,vente,A,4,1,2,4 bed semi-detached house for sale,Maison,NA
8839,https://www.zoopla.co.uk//for-sale/details/54169097,Hornchurch,RM11,Herbert Road Emerson Park Hornchurch RM11,1995000,NA,vente,A,5,5,NA,5 bed detached house for sale,Maison,NA
8840,https://www.zoopla.co.uk//for-sale/details/54169039,Londres,E4,Beaufort Close London E4,245000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8841,https://www.zoopla.co.uk//new-homes/details/54169036,Londres,W12,Lincoln Building White City Living White City W12,1180000,NA,vente,N,2,2,2,2 bed flat for sale,Appartement,NA
8842,https://www.zoopla.co.uk//for-sale/details/54169049,Londres,N1,Langford Mews Liverpool Road Barnsbury Islington N1,1200000,NA,vente,A,2,2,2,2 bed terraced house for sale,Maison,NA
8843,https://www.zoopla.co.uk//for-sale/details/54169027,Orpington,BR6,Woodcote Drive Orpington BR6,325000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
8844,https://www.zoopla.co.uk//for-sale/details/47052556,Londres,E1,Varden Street London E1,1450000,NA,vente,A,3,2,2,3 bed town house for sale,Maison,NA
8845,https://www.zoopla.co.uk//for-sale/details/54169000,Londres,SW11,Keildon Road London SW11,1450000,NA,vente,A,5,3,1,5 bed terraced house for sale,Maison,NA
8846,https://www.zoopla.co.uk//for-sale/details/54168990,Londres,SW2,Barrhill Road London SW2,350000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8847,https://www.zoopla.co.uk//for-sale/details/54168865,Brentford,TW8,Baltic Avenue Brentford TW8,375000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8848,https://www.zoopla.co.uk//for-sale/details/54168848,Barnet,EN5,Station Road New Barnet Barnet EN5,325000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8849,https://www.zoopla.co.uk//for-sale/details/54160747,Londres,E16,Latitude Court Albert Basin Way Royal Docks E16,400000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
8850,https://www.zoopla.co.uk//for-sale/details/54160750,Londres,E16,The Galley 3 Basin Approach London E16,300000,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
8851,https://www.zoopla.co.uk//for-sale/details/54146724,Londres,E6,Canterbury Close Beckton London E6,200000,NA,vente,A,NA,NA,NA,Studio for sale,Studio,NA
8852,https://www.zoopla.co.uk//for-sale/details/54168810,Croydon,CR0,Warbank Close New Addington Croydon CR0,350000,NA,vente,A,3,NA,NA,3 bed terraced house for sale,Maison,NA
8853,https://www.zoopla.co.uk//for-sale/details/54168814,Brook Avenue,HA8,Dean Court Brook Avenue HA8,350000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
8854,https://www.zoopla.co.uk//for-sale/details/54168789,Londres,E3,Windermere House 74 Eric Street London E3,450000,83.705603,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
8855,https://www.zoopla.co.uk//for-sale/details/54168756,Londres,N14,Bush Court Crown Lane Southgate N14,459950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
8856,https://www.zoopla.co.uk//for-sale/details/54168759,Londres,NW3,Ferncroft Avenue Hampstead NW3,6395000,NA,vente,A,6,5,3,6 bed property for sale,Maison avec jardin,NA
8857,https://www.zoopla.co.uk//for-sale/details/54168757,Sydney Road,EN2,Tower Point Sydney Road EN2,340000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
8858,https://www.zoopla.co.uk//for-sale/details/47767657,Londres,E14,Lockview Court Limehouse E14,460000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
