,URL,pages,description,prix,Enchère ou vente,Frais sans enchère
2274,https://www.zoopla.co.uk//for-sale/details/54130072?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed flat for sale,325000.0,vente,NA
1620,https://www.zoopla.co.uk//for-sale/details/54142221?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,3 bed terraced house for sale,325000.0,vente,NA
3398,https://www.zoopla.co.uk//for-sale/details/54107548?search_identifier=fa66bf652959bd95b74ac0d613701526,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=34,2 bed maisonette for sale,325000.0,vente,NA
8974,https://www.zoopla.co.uk//for-sale/details/53989251?search_identifier=ae7571eb27cdceacec80290edf19116a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=90,1 bed flat for sale,325000.0,vente,NA
4113,https://www.zoopla.co.uk//for-sale/details/54094684?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,2 bed property for sale,325000.0,vente,NA
5148,https://www.zoopla.co.uk//for-sale/details/54074715?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,2 bed flat for sale,325000.0,vente,NA
5612,https://www.zoopla.co.uk//for-sale/details/54065777?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=57,2 bed flat for sale,325000.0,vente,NA
8259,https://www.zoopla.co.uk//for-sale/details/54003167?search_identifier=f327b53a9fc4ed692076843b7ed28cb9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=83,2 bed flat for sale,325000.0,vente,NA
9946,https://www.zoopla.co.uk//for-sale/details/53965621?search_identifier=0650b4e1c619fcf5b85dd66fbc73cdce,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=100,2 bed flat for sale,325000.0,vente,NA
8537,https://www.zoopla.co.uk//for-sale/details/53996939?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,1 bed flat for sale,325000.0,vente,NA
1286,https://www.zoopla.co.uk//for-sale/details/54149233?search_identifier=e8a31cfb56cfc8829bdea22a56efac86,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=13,3 bed terraced house for sale,325000.0,vente,NA
1283,https://www.zoopla.co.uk//for-sale/details/54149297?search_identifier=e8a31cfb56cfc8829bdea22a56efac86,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=13,2 bed flat for sale,325000.0,vente,NA
7335,https://www.zoopla.co.uk//for-sale/details/54023006?search_identifier=97e36b806aa3f20afb0da2980d035075,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=74,2 bed flat for sale,325000.0,vente,NA
7473,https://www.zoopla.co.uk//for-sale/details/54019748?search_identifier=81fa998cf134b141e2ec03ae9c4eb103,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=75,2 bed flat for sale,325000.0,vente,NA
2900,https://www.zoopla.co.uk//for-sale/details/54116952?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=30,2 bed flat for sale,325000.0,vente,NA
6541,https://www.zoopla.co.uk//for-sale/details/54043599?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,2 bed terraced house for sale,325000.0,vente,NA
1694,https://www.zoopla.co.uk//for-sale/details/54141352?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,2 bed flat for sale,325000.0,vente,NA
4294,https://www.zoopla.co.uk//for-sale/details/54091713?search_identifier=4a383953bb5d5f63baf930d0fea37709,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=43,2 bed flat for sale,325000.0,vente,NA
8213,https://www.zoopla.co.uk//for-sale/details/51214194?search_identifier=f327b53a9fc4ed692076843b7ed28cb9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=83,1 bed flat for sale,325000.0,vente,NA
3909,https://www.zoopla.co.uk//for-sale/details/54098218?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,2 bed flat for sale,325000.0,vente,NA
3908,https://www.zoopla.co.uk//for-sale/details/54098255?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,2 bed maisonette for sale,325000.0,vente,NA
3373,https://www.zoopla.co.uk//for-sale/details/54107912?search_identifier=fa66bf652959bd95b74ac0d613701526,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=34,3 bed terraced house for sale,325000.0,vente,NA
3686,https://www.zoopla.co.uk//for-sale/details/54102657?search_identifier=e2ef349b8061d18709a6a85a84a6f39c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=37,3 bed maisonette for sale,325000.0,vente,NA
5177,https://www.zoopla.co.uk//for-sale/details/54073961?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,2 bed semi-detached house for sale,325000.0,vente,NA
4541,https://www.zoopla.co.uk//for-sale/details/54086562?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,325000.0,vente,NA
147,https://www.zoopla.co.uk//for-sale/details/54169027?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,3 bed flat for sale,325000.0,vente,NA
242,https://www.zoopla.co.uk//for-sale/details/54167740?search_identifier=4f4aae62b53cd91ca1efde5d676306f8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=3,2 bed flat for sale,325000.0,vente,NA
9914,https://www.zoopla.co.uk//for-sale/details/53966185?search_identifier=0650b4e1c619fcf5b85dd66fbc73cdce,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=100,2 bed maisonette for sale,325000.0,vente,NA
7428,https://www.zoopla.co.uk//for-sale/details/54020879?search_identifier=81fa998cf134b141e2ec03ae9c4eb103,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=75,2 bed terraced house for sale,325000.0,vente,NA
6266,https://www.zoopla.co.uk//for-sale/details/54048714?search_identifier=3a76a2eb752c667ddea6c669b3a4288b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=63,1 bed flat for sale,325000.0,vente,NA
4547,https://www.zoopla.co.uk//for-sale/details/54086228?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,325000.0,vente,NA
244,https://www.zoopla.co.uk//for-sale/details/54167746?search_identifier=4f4aae62b53cd91ca1efde5d676306f8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=3,2 bed terraced house for sale,325000.0,vente,NA
9203,https://www.zoopla.co.uk//for-sale/details/53980669?search_identifier=44f691af584fc0a76e5ac29f3de0057f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=93,2 bed maisonette for sale,325000.0,vente,NA
154,https://www.zoopla.co.uk//for-sale/details/54168848?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,1 bed flat for sale,325000.0,vente,NA
5468,https://www.zoopla.co.uk//new-homes/details/54067990?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,1 bed flat for sale,325000.0,vente,NA
6084,https://www.zoopla.co.uk//for-sale/details/54052130?search_identifier=4876615b882bf2091218b8a36db316a9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=61,1 bed flat for sale,325000.0,vente,NA
9215,https://www.zoopla.co.uk//new-homes/details/53980234?search_identifier=44f691af584fc0a76e5ac29f3de0057f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=93,1 bed flat for sale,325000.0,vente,NA
4176,https://www.zoopla.co.uk//for-sale/details/54093968?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,Studio for sale,325000.0,vente,NA
419,https://www.zoopla.co.uk//for-sale/details/54165398?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,1 bed flat for sale,325000.0,vente,NA
4835,https://www.zoopla.co.uk//for-sale/details/54078756?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,1 bed flat for sale,325000.0,vente,NA
7715,https://www.zoopla.co.uk//for-sale/details/54015405?search_identifier=ab3619dd29cee0ad1e842a39f75fb611,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=78,2 bed flat for sale,325000.0,vente,NA
7270,https://www.zoopla.co.uk//for-sale/details/54024052?search_identifier=7ea405110a39dd30499c50861ac2b968,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=73,2 bed flat for sale,325000.0,vente,NA
6617,https://www.zoopla.co.uk//for-sale/details/54041861?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,Studio for sale,325000.0,vente,NA
1098,https://www.zoopla.co.uk//for-sale/details/54152054?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,1 bed flat for sale,325000.0,vente,NA
8568,https://www.zoopla.co.uk//for-sale/details/53996509?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,3 bed flat for sale,325000.0,vente,NA
8391,https://www.zoopla.co.uk//new-homes/details/50528865?search_identifier=e25c9b19ff1e3e21c7a147c4ac5a3d89,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=84,1 bed flat for sale,325000.0,vente,NA
9004,https://www.zoopla.co.uk//for-sale/details/53988666?search_identifier=89032ca41787a980b71dc0421fe84f6e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=91,2 bed flat for sale,325000.0,vente,NA
2874,https://www.zoopla.co.uk//for-sale/details/54117880?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,2 bed maisonette for sale,325000.0,vente,NA
6129,https://www.zoopla.co.uk//for-sale/details/54051130?search_identifier=a291fdb6dcd788297aed12d267d98e11,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=62,2 bed bungalow for sale,325000.0,vente,NA
1598,https://www.zoopla.co.uk//for-sale/details/54142339?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,2 bed maisonette for sale,325000.0,vente,NA
1118,https://www.zoopla.co.uk//for-sale/details/54151766?search_identifier=23a43f2fe22e23116a4f7dab9e3cf741,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=12,2 bed flat for sale,325000.0,vente,NA
9923,https://www.zoopla.co.uk//for-sale/details/53965927?search_identifier=0650b4e1c619fcf5b85dd66fbc73cdce,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=100,3 bed terraced house for sale,325000.0,vente,NA
5186,https://www.zoopla.co.uk//for-sale/details/51362762?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,1 bed flat for sale,325000.0,vente,NA
6275,https://www.zoopla.co.uk//for-sale/details/54048440?search_identifier=3a76a2eb752c667ddea6c669b3a4288b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=63,1 bed flat for sale,325000.0,vente,NA
3172,https://www.zoopla.co.uk//for-sale/details/54111428?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=32,1 bed flat for sale,325000.0,vente,NA
6616,https://www.zoopla.co.uk//new-homes/details/54041896?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,1 bed flat for sale,325000.0,vente,NA
1571,https://www.zoopla.co.uk//for-sale/details/54143912?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,1 bed flat for sale,325000.0,vente,NA
5446,https://www.zoopla.co.uk//new-homes/details/54068098?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,3 bed maisonette for sale,325000.0,vente,NA
4510,https://www.zoopla.co.uk//for-sale/details/54086992?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed flat for sale,325000.0,vente,NA
2702,https://www.zoopla.co.uk//for-sale/details/49386185?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,3 bed terraced house for sale,325000.0,vente,NA
8968,https://www.zoopla.co.uk//for-sale/details/53989369?search_identifier=ae7571eb27cdceacec80290edf19116a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=90,2 bed flat for sale,325000.0,vente,NA
4198,https://www.zoopla.co.uk//for-sale/details/54093693?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,3 bed end terrace house for sale,325000.0,vente,NA
6995,https://www.zoopla.co.uk//for-sale/details/53366292?search_identifier=b4c3dbcd616bf46f8c93e6328d143367,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=70,1 bed flat for sale,325000.0,vente,NA
7884,https://www.zoopla.co.uk//for-sale/details/54010447?search_identifier=b2cba6063ea22c7a60103115a1c89a1e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=79,2 bed flat for sale,325000.0,vente,NA
1305,https://www.zoopla.co.uk//for-sale/details/49804735?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,2 bed flat for sale,325000.0,vente,NA
3464,https://www.zoopla.co.uk//for-sale/details/50729857?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,2 bed flat for sale,325000.0,vente,NA
7098,https://www.zoopla.co.uk//for-sale/details/54028295?search_identifier=e9b573906f5159600ce7762f3637082a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=71,1 bed flat for sale,325000.0,vente,NA
9778,https://www.zoopla.co.uk//new-homes/details/53969796?search_identifier=8fbaba4bb000c1682feb6a45a150501f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=98,1 bed maisonette for sale,325000.0,vente,NA
1766,https://www.zoopla.co.uk//for-sale/details/54140339?search_identifier=c8eff9ff1a3aecce5a182c764ac10624,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=18,1 bed flat for sale,325000.0,vente,NA
7331,https://www.zoopla.co.uk//for-sale/details/49387632?search_identifier=97e36b806aa3f20afb0da2980d035075,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=74,2 bed flat for sale,325000.0,vente,NA
1772,https://www.zoopla.co.uk//for-sale/details/54140222?search_identifier=c8eff9ff1a3aecce5a182c764ac10624,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=18,1 bed flat for sale,325000.0,vente,NA
5640,https://www.zoopla.co.uk//for-sale/details/52577274?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=57,1 bed flat for sale,325000.0,vente,NA
6004,https://www.zoopla.co.uk//for-sale/details/54055086?search_identifier=4876615b882bf2091218b8a36db316a9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=61,1 bed flat for sale,325000.0,vente,NA
4513,https://www.zoopla.co.uk//for-sale/details/54086960?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed flat for sale,325000.0,vente,NA
3476,https://www.zoopla.co.uk//for-sale/details/54106120?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,1 bed flat for sale,325000.0,vente,NA
8905,https://www.zoopla.co.uk//for-sale/details/53990417?search_identifier=ae7571eb27cdceacec80290edf19116a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=90,1 bed property for sale,325000.0,vente,NA
1788,https://www.zoopla.co.uk//for-sale/details/54140006?search_identifier=c8eff9ff1a3aecce5a182c764ac10624,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=18,2 bed flat for sale,325000.0,vente,NA
3479,https://www.zoopla.co.uk//for-sale/details/54106081?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,2 bed terraced house for sale,325000.0,vente,NA
842,https://www.zoopla.co.uk//for-sale/details/53086022?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,2 bed maisonette for sale,325000.0,vente,NA
2282,https://www.zoopla.co.uk//for-sale/details/48704423?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed maisonette for sale,325000.0,vente,NA
9515,https://www.zoopla.co.uk//for-sale/details/53974499?search_identifier=a5656084126786453cab24bdb8eed128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=96,2 bed semi-detached house for sale,325000.0,Enchères,NA
1308,https://www.zoopla.co.uk//for-sale/details/54148809?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,3 bed maisonette for sale,325000.0,vente,NA
1781,https://www.zoopla.co.uk//for-sale/details/54140078?search_identifier=c8eff9ff1a3aecce5a182c764ac10624,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=18,1 bed flat for sale,325000.0,vente,NA
5405,https://www.zoopla.co.uk//for-sale/details/54068664?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,1 bed flat for sale,325000.0,vente,NA
2293,https://www.zoopla.co.uk//for-sale/details/54129896?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,1 bed flat for sale,325000.0,vente,NA
863,https://www.zoopla.co.uk//for-sale/details/54157301?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,4 bed terraced house for sale,327000.0,vente,NA
4789,https://www.zoopla.co.uk//for-sale/details/54079674?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,327500.0,vente,NA
3910,https://www.zoopla.co.uk//for-sale/details/54098214?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,2 bed maisonette for sale,329950.0,vente,NA
2545,https://www.zoopla.co.uk//for-sale/details/54124222?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,2 bed maisonette for sale,329950.0,vente,NA
9561,https://www.zoopla.co.uk//for-sale/details/53973805?search_identifier=a5656084126786453cab24bdb8eed128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=96,1 bed flat for sale,329950.0,vente,NA
7585,https://www.zoopla.co.uk//for-sale/details/54017644?search_identifier=39aa78fa1b8597596b773a636dceb381,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=76,1 bed flat for sale,329950.0,vente,NA
3008,https://www.zoopla.co.uk//for-sale/details/54114983?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,2 bed flat for sale,329950.0,vente,NA
3805,https://www.zoopla.co.uk//for-sale/details/54099992?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,3 bed terraced house for sale,329950.0,vente,NA
16,https://www.zoopla.co.uk//for-sale/details/54171505?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,1 bed flat for sale,329950.0,vente,NA
4797,https://www.zoopla.co.uk//for-sale/details/54079570?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,329950.0,vente,NA
4985,https://www.zoopla.co.uk//for-sale/details/54076832?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=50,3 bed flat for sale,329995.0,vente,NA
3084,https://www.zoopla.co.uk//for-sale/details/48791685?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,1 bed flat for sale,329995.0,vente,NA
7820,https://www.zoopla.co.uk//for-sale/details/54011921?search_identifier=b2cba6063ea22c7a60103115a1c89a1e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=79,2 bed flat for sale,330000.0,vente,NA
3151,https://www.zoopla.co.uk//for-sale/details/54111671?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=32,2 bed maisonette for sale,330000.0,vente,NA
3460,https://www.zoopla.co.uk//for-sale/details/54106337?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,Studio for sale,330000.0,vente,NA
2355,https://www.zoopla.co.uk//for-sale/details/54128688?search_identifier=3db859b17f7188303fb67108baf9eeb7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=24,2 bed flat for sale,330000.0,vente,NA
5081,https://www.zoopla.co.uk//for-sale/details/54075689?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=51,2 bed bungalow for sale,330000.0,vente,NA
5729,https://www.zoopla.co.uk//for-sale/details/54063597?search_identifier=20d287dba7a84f2a5f13a696af814b1a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=58,2 bed flat for sale,330000.0,vente,NA
