,URL,pages,description,prix,Enchère ou vente,Frais sans enchère
8900,https://www.zoopla.co.uk//for-sale/details/53990488?search_identifier=ae7571eb27cdceacec80290edf19116a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=90,Parking/garage for sale,45000.0,Enchères,NA
438,https://www.zoopla.co.uk//for-sale/details/54165219?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,Property for sale,50000.0,vente,NA
332,https://www.zoopla.co.uk//for-sale/details/54166534?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Parking/garage for sale,50000.0,vente,NA
4111,https://www.zoopla.co.uk//new-homes/details/54094687?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,58750.0,vente,NA
4116,https://www.zoopla.co.uk//new-homes/details/54094579?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,59375.0,vente,NA
1814,https://www.zoopla.co.uk//for-sale/details/54139759?search_identifier=92c224e336c3061160fdc18c13247ef4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=19,Land for sale,65000.0,vente,NA
3998,https://www.zoopla.co.uk//for-sale/details/54095988?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,2 bed flat for sale,65000.0,vente,NA
330,https://www.zoopla.co.uk//for-sale/details/54166525?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Parking/garage for sale,65000.0,vente,NA
9216,https://www.zoopla.co.uk//new-homes/details/52642220?search_identifier=44f691af584fc0a76e5ac29f3de0057f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=93,1 bed flat for sale,65000.0,vente,NA
312,https://www.zoopla.co.uk//new-homes/details/54166831?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,1 bed flat for sale,68750.0,vente,NA
7015,https://www.zoopla.co.uk//for-sale/details/54029827?search_identifier=e9b573906f5159600ce7762f3637082a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=71,2 bed flat for sale,70000.0,vente,NA
294,https://www.zoopla.co.uk//new-homes/details/54167011?search_identifier=4f4aae62b53cd91ca1efde5d676306f8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=3,1 bed flat for sale,70000.0,vente,NA
2549,https://www.zoopla.co.uk//for-sale/details/54124190?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,2 bed flat for sale,72500.0,vente,NA
4338,https://www.zoopla.co.uk//new-homes/details/54091313?search_identifier=c896488009676d2754e19f5d80e08912,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=44,1 bed flat for sale,73125.0,vente,NA
443,https://www.zoopla.co.uk//new-homes/details/54165121?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,1 bed flat for sale,73750.0,vente,NA
4322,https://www.zoopla.co.uk//new-homes/details/54091408?search_identifier=c896488009676d2754e19f5d80e08912,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=44,1 bed flat for sale,73750.0,vente,NA
440,https://www.zoopla.co.uk//new-homes/details/54165247?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,1 bed flat for sale,75000.0,vente,NA
6603,https://www.zoopla.co.uk//for-sale/details/54042250?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,Studio for sale,75000.0,Enchères,NA
4882,https://www.zoopla.co.uk//for-sale/details/50554504?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,1 bed flat for sale,75000.0,vente,NA
2681,https://www.zoopla.co.uk//for-sale/details/54120932?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,3 bed maisonette for sale,75000.0,vente,NA
8769,https://www.zoopla.co.uk//for-sale/details/53992883?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,1 bed flat for sale,78750.0,vente,NA
