,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
4123,https://www.zoopla.co.uk//new-homes/details/54094687?search_identifier=0c7007bf60077d229b892565fe7c0df3, Barking,IG11,"Fielders Crescent, Barking IG11",58750.0,55.370188,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
4128,https://www.zoopla.co.uk//new-homes/details/54094579?search_identifier=0c7007bf60077d229b892565fe7c0df3, Barking,IG11,"Fielders Crescent, Barking IG11",59375.0,55.555994,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
1827,https://www.zoopla.co.uk//for-sale/details/54139759?search_identifier=92c224e336c3061160fdc18c13247ef4, London,SW5,"Kempsford Gardens, London SW5",65000.0,NA,vente,A,NA,NA,NA,Land for sale,Terrain,NA
4010,https://www.zoopla.co.uk//for-sale/details/54095988?search_identifier=7a8541b13a993b61d4666d1416e42352, Croydon,CR0,"London Road, Croydon CR0",65000.0,NA,vente,A,2,1,NA,2 bed flat for sale,Appartement,NA
9226,https://www.zoopla.co.uk//new-homes/details/52642220?search_identifier=44f691af584fc0a76e5ac29f3de0057f, Wembley,HA9,"Edison Drive, Wembley HA9",65000.0,NA,vente,N,1,NA,NA,1 bed flat for sale,Appartement,NA
344,https://www.zoopla.co.uk//for-sale/details/54166525?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Enfield,EN2,"Essex Road, Enfield EN2",65000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
326,https://www.zoopla.co.uk//new-homes/details/54166831?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Ilford,IG1,"Ilford Hill, Ilford IG1",68750.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
7027,https://www.zoopla.co.uk//for-sale/details/54029827?search_identifier=e9b573906f5159600ce7762f3637082a, Hayes,UB4,"Park Lane, Hayes UB4",70000.0,65,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
308,https://www.zoopla.co.uk//new-homes/details/54167011?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Ilford,IG1,"Ilford Hill, Ilford IG1",70000.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
2562,https://www.zoopla.co.uk//for-sale/details/54124190?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6, London,N9,"Elwood Court, 2A Forest Road, London N9",72500.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
4350,https://www.zoopla.co.uk//new-homes/details/54091313?search_identifier=c896488009676d2754e19f5d80e08912, West Drayton,UB8,"Plot 102, Grand Union Canal, West Drayton UB8",73125.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
4334,https://www.zoopla.co.uk//new-homes/details/54091408?search_identifier=c896488009676d2754e19f5d80e08912, West Drayton,UB8,"Plot 132, Grand Union Canal, West Drayton UB8",73750.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
457,https://www.zoopla.co.uk//new-homes/details/54165121?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Ilford,IG1,"Ilford Hill, Ilford IG1",73750.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
4894,https://www.zoopla.co.uk//for-sale/details/50554504?search_identifier=6e021a797919b125b060dfed191d21b4, Surbiton,KT6,"Balaclava Road, Surbiton KT6",75000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6615,https://www.zoopla.co.uk//for-sale/details/54042250?search_identifier=5f379b47885253facf691c9da832d0ff, Surrey,CR2,"51D St. Augustines Avenue, South Croydon, Surrey CR2",75000.0,NA,Enchères,A,NA,NA,NA,Studio for sale,Studio,NA
2693,https://www.zoopla.co.uk//for-sale/details/54120932?search_identifier=b2405fab13ec430939762f5907ff3366, Isleworth,TW7,"Otterburn Gardens, Isleworth TW7",75000.0,NA,vente,A,3,NA,NA,3 bed maisonette for sale,Maisonette,NA
454,https://www.zoopla.co.uk//new-homes/details/54165247?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Ilford,IG1,"Ilford Hill, Ilford IG1",75000.0,NA,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
8779,https://www.zoopla.co.uk//for-sale/details/53992883?search_identifier=bc580ae5322c677e87215cf5ebf4d761, Wembley,HA9,"Empire Way, Wembley HA9",78750.0,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
1041,https://www.zoopla.co.uk//for-sale/details/54153714?search_identifier=fe807ecfbac015f02352bddcb4d44f93, Thornton Heath,CR7,"Park Lawn, Parchmore Road, Thornton Heath CR7",80000.0,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
8101,https://www.zoopla.co.uk//new-homes/details/54005982?search_identifier=33b8af2a447234140f52656b515923c3, Kenley,CR8,"Old Barn Lane, Kenley CR8",81000.0,49,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
8659,https://www.zoopla.co.uk//for-sale/details/53994228?search_identifier=ae4027b310421f37f8f05a5c6443bc54, Wembley,HA9,"Empire Way, Wembley HA9",81250.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
4800,https://www.zoopla.co.uk//for-sale/details/54079663?search_identifier=6e021a797919b125b060dfed191d21b4, Ealing,UB1,"Plot 210, Southall High Street, Ealing UB1",81875.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
7806,https://www.zoopla.co.uk//for-sale/details/52911951?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, London,E15,"Plaistow Grove, London E15",82500.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
2907,https://www.zoopla.co.uk//new-homes/details/54116782?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2, London,E15,"Stratford Hotel Room, Henniker Road, London E15",84995.0,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
8077,https://www.zoopla.co.uk//new-homes/details/54006395?search_identifier=132b4598d0b57ae63192f58eaf908d28, New Malden,KT3,"Flat 6 New Malden House, 1 Bladgon Road, New Malden KT3",87500.0,50,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
1706,https://www.zoopla.co.uk//new-homes/details/54043784?search_identifier=c8eff9ff1a3aecce5a182c764ac10624, London,W3,"Western Avenue, London W3",87500.0,50.725038,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
6902,https://www.zoopla.co.uk//new-homes/details/54032366?search_identifier=b4c3dbcd616bf46f8c93e6328d143367, London,W3,"Holst Road, Acton, London W3",88125.0,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
