,url,prix,adresse,surface,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description
8833,https://www.zoopla.co.uk//for-sale/details/53812800?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£470,000","The Residence / Beaufort Court, 65 Maygrove Road, West Hampstead, London NW6",620 sq. ft*,A,1,2,2,1 bed duplex for sale
8834,https://www.zoopla.co.uk//for-sale/details/53812762?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£474,999","Stratophere, Great Eastern Street, Stratford, London E15",571 sq. ft*,A,1,1,1,1 bed flat for sale
8835,https://www.zoopla.co.uk//for-sale/details/53812776?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£400,000","Piano Studios, 2 Belmont Hill, Lewisham SE13",NA,A,2,1,1,2 bed flat for sale
8836,https://www.zoopla.co.uk//for-sale/details/53812764?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£450,000","Francis Road, Leyton, London E10",NA,A,2,1,1,2 bed flat for sale
8837,https://www.zoopla.co.uk//for-sale/details/53812746?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£320,000","Central Apartments, 455 High Road, Wembley, London HA9",527 sq. ft*,A,1,1,1,1 bed flat for sale
8838,https://www.zoopla.co.uk//for-sale/details/53812737?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£360,000","The Printworks, 139 Clapham Road, London SW9",277 sq. ft*,A,NA,1,1,Studio for sale
8839,https://www.zoopla.co.uk//new-homes/details/53812725?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£360,000","John Cabot House, 4 Clipper Street, Royal Wharf, London E16",518 sq. ft*,N,NA,1,1,Studio for sale
8840,https://www.zoopla.co.uk//for-sale/details/53812715?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£360,000","The Printworks, 139 Clapham Road, London SW9",288 sq. ft*,A,NA,1,1,Studio for sale
8841,https://www.zoopla.co.uk//for-sale/details/53812696?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£359,950","Woodhouse Road, Finchley N12",826 sq. ft*,A,3,1,1,3 bed maisonette for sale
8842,https://www.zoopla.co.uk//new-homes/details/53812708?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£368,000","Westgate House, Hanger Lane, London W5",512 sq. ft*,N,1,1,1,1 bed flat for sale
8843,https://www.zoopla.co.uk//for-sale/details/53812680?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£2,650,000","One Blackfriars Road, London SE1","1,300 sq. ft*",A,2,2,2,2 bed flat for sale
8844,https://www.zoopla.co.uk//for-sale/details/53812681?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£600,000","Dene Close, Outwood Lane, Chipstead, Coulsdon CR5",NA,A,2,2,1,2 bed flat for sale
8845,https://www.zoopla.co.uk//for-sale/details/53812664?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£1,350,000","Chelsea Gate, 93 Ebury Bridge Road, London SW1W",947 sq. ft*,A,2,2,1,2 bed flat for sale
8846,https://www.zoopla.co.uk//for-sale/details/53812636?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£1,360,000","Boydell Court, St Johns Wood Park, London NW8","1,025 sq. ft*",A,3,3,1,3 bed flat for sale
8847,https://www.zoopla.co.uk//for-sale/details/53812566?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£279,900","Buttsbury Road, Ilford IG1",NA,A,3,2,1,3 bed maisonette for sale
8848,https://www.zoopla.co.uk//for-sale/details/53812529?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£425,000","Flat 2, 17 Rodney Road, New Malden, Surrey KT3",NA,A,2,NA,NA,2 bed flat for sale
8849,https://www.zoopla.co.uk//for-sale/details/53812489?search_identifier=0c58c280d4fbbc3ec44bf48d32bd0e98,"£475,000","Casbeard Street, London N4",NA,A,1,1,1,1 bed flat for sale
8850,https://www.zoopla.co.uk//for-sale/details/53812146?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£1,590,000","Manor Apartments, 40-42 Abbey Road, St John's Wood, London NW8","1,084 sq. ft*",A,3,3,1,3 bed flat for sale
8851,https://www.zoopla.co.uk//for-sale/details/53812142?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£1,800,000","Endell Street, Covent Garden, London WC2H",NA,A,3,2,1,3 bed maisonette for sale
8852,https://www.zoopla.co.uk//for-sale/details/53812080?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£799,950","Oak Lane, Twickenham TW1",NA,A,2,2,1,2 bed flat for sale
